path	tonic(hz)	tradition	artist_name	gender	vocal_instrumental
TonicDataset/CM/audio/0030fdf2-ddfc-4224-986b-887c047354a0.mp3	142.627	Hindustani	NA	Male	vocal
TonicDataset/CM/audio/00f54612-09f6-4528-91f1-95e5ef191c1b.mp3	213.107	Hindustani	NA	Female	vocal
TonicDataset/CM/audio/0113c364-2689-49c3-8c18-6a7f5d19d22d.mp3	156.042	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/01936cd0-f084-4ec4-a3d4-f098d5db4c45.mp3	193.022	Carnatic	NA	Female	vocal
TonicDataset/CM/audio/0229612b-f8e8-4efd-97f3-1503935088e5.mp3	136.104	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/028528cc-9b4f-44b7-afb2-5c778a24adcb.mp3	142.47	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/0481f568-f9f9-4b9d-9f03-d82cb9ccbf3c.mp3	236.784	Hindustani	NA	Female	vocal
TonicDataset/CM/audio/049d9e8f-a34c-4da7-aa7d-617584c5c461.mp3	143.888	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/05d50386-d558-4d57-a000-ecf57a24fc55.mp3	144.413	Hindustani	NA	Male	vocal
TonicDataset/CM/audio/0a6ebaa4-87cc-452d-a7af-a2006e96f16a.mp3	131.436	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/0edbc0b8-fbe9-4b24-9865-2d90d278af34.mp3	206.211	Carnatic	NA	Female	vocal
TonicDataset/CM/audio/0efa6531-54dc-4d9f-92ca-932a686481cf.mp3	185.21	Carnatic	NA	Female	vocal
TonicDataset/CM/audio/1232586a-4c61-43a4-b1bc-2758ec73841c.mp3	187.708	Carnatic	NA	Female	vocal
TonicDataset/CM/audio/13ee516e-de20-4770-9643-86f4f1adf8fa.mp3	139.608	Hindustani	NA	Male	vocal
TonicDataset/CM/audio/1479760f-8124-49b6-a28e-b43ed338f5e9.mp3	130.833	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/1513a073-1fe5-481f-9848-32a5c6505e65.mp3	139.859	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/167129a1-d931-4d86-a27d-7ce609944148.mp3	147.64	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/16b03f65-d9a3-425d-97d8-377182a2789f.mp3	192.918	Carnatic	NA	Female	vocal
TonicDataset/CM/audio/170d02f1-5804-4919-8780-f38014592aa0.mp3	133.358	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/194d852d-5c1e-475d-8370-a5915d422d2a.mp3	179.197	Hindustani	NA	Male	vocal
TonicDataset/CM/audio/1a840c38-24a1-4faf-8710-d543c0d5aafe.mp3	205.944	Carnatic	NA	Female	vocal
TonicDataset/CM/audio/1c3d8526-6692-46f5-a00a-92dddbead9ff.mp3	197.16	Carnatic	NA	Female	vocal
TonicDataset/CM/audio/1e2bc579-2fac-40be-b75b-02312af411fc.mp3	131.794	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/1e869eb8-9604-458d-8dbe-05980a4b6214.mp3	156.144	Hindustani	NA	Male	vocal
TonicDataset/CM/audio/1fccaf30-1821-4342-8ab1-a1c5caa89e90.mp3	208.103	Carnatic	NA	Female	vocal
TonicDataset/CM/audio/204735ab-cba7-49f4-9d7c-9e08dcadf6be.mp3	190.537	Carnatic	NA	Female	vocal
TonicDataset/CM/audio/211c010f-7ae5-4ca6-a909-f10afed265c5.mp3	140.189	Hindustani	NA	Male	vocal
TonicDataset/CM/audio/213c5ae8-57e8-4472-b439-db7bbe4b1e0e.mp3	130.73	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/22e45ddb-9b88-406e-996a-2136730d72d4.mp3	237.11	Hindustani	NA	Female	vocal
TonicDataset/CM/audio/26edd341-14fc-4c65-8904-8db801afbf2f.mp3	200.14	Carnatic	NA	Female	vocal
TonicDataset/CM/audio/290c8578-e243-4ecb-9839-05920bd01a89.mp3	155.237	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/2a7fe6ba-5f03-4ee8-ac6d-31a050460a6a.mp3	140.233	Hindustani	NA	Male	vocal
TonicDataset/CM/audio/2ce8a78d-6316-4344-8e99-201f48ba7410.mp3	142.742	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/2d16d8a1-7a1d-4c51-86ef-ff7ee1893292.mp3	132.311	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/2d17101c-7109-4754-8d01-14de67b906d4.mp3	146.675	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/2e399218-6978-47ef-ad3f-c7eca6dad81b.mp3	148.922	Hindustani	NA	Male	vocal
TonicDataset/CM/audio/2e6749b2-1770-4468-9db0-6e983190bf9d.mp3	141.103	Hindustani	NA	Male	vocal
TonicDataset/CM/audio/2e7171bb-f64b-4d80-80ac-1feeb60e1138.mp3	142.897	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/322d7791-af5b-4ea8-bf0a-dd5cc3e7ec5d.mp3	143.078	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/344dca74-fb8a-4c7e-a7e6-0a52088edd71.mp3	139.87	Hindustani	NA	Male	vocal
TonicDataset/CM/audio/351c3fff-6731-467a-8f41-2bc5397d01bb.mp3	129.162	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/35bd5102-d3bc-48da-a384-00848130aa72.mp3	140.891	Hindustani	NA	Male	vocal
TonicDataset/CM/audio/35c1056e-091a-43db-b9f5-df1f1d5bf45c.mp3	144.399	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/35d79f11-0fe5-43ff-97ed-626e2433117f.mp3	179.409	Hindustani	NA	Male	vocal
TonicDataset/CM/audio/37720d91-a434-4630-b448-874b90f6089e.mp3	130.66	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/37f6c0e8-dcb9-4722-8b91-60c05ccd82a3.mp3	131.125	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/38ebd057-ce02-448c-83e4-0cb7938e8288.mp3	125.78	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/39080101-e69b-455c-843b-b45365c695bb.mp3	132.054	Carnatic	NA	Male	vocal
